model_id,file1,file2,cosine_similarity,matcher_similarity,model_name,cosine_similarity_pct,matcher_similarity_pct
model_8,sam_1.wav,sam_2.wav,0.5479931831359863,0.5479931831359863,v27_ep9_sam_not_detected,54.80%,54.80%
model_8,shambu_1.wav,shambu_2.wav,0.7019939422607422,0.7019939422607422,v27_ep9_sam_not_detected,70.20%,70.20%
model_8,alexa_1.wav,alexa_2.wav,0.6865609288215637,0.6865609288215637,v27_ep9_sam_not_detected,68.66%,68.66%
model_8,alexa_1.wav,alexa_3.wav,0.8369767665863037,0.8369767665863037,v27_ep9_sam_not_detected,83.70%,83.70%
model_8,alexa_1.wav,alexa_4.wav,0.6989873647689819,0.6989873647689819,v27_ep9_sam_not_detected,69.90%,69.90%
model_8,alexa_1.wav,alexa_5.wav,0.7906437516212463,0.7906437516212463,v27_ep9_sam_not_detected,79.06%,79.06%
model_8,alexa_2.wav,alexa_3.wav,0.7118136882781982,0.7118136882781982,v27_ep9_sam_not_detected,71.18%,71.18%
model_8,alexa_2.wav,alexa_4.wav,0.701614499092102,0.701614499092102,v27_ep9_sam_not_detected,70.16%,70.16%
model_8,alexa_2.wav,alexa_5.wav,0.7789310216903687,0.7789310216903687,v27_ep9_sam_not_detected,77.89%,77.89%
model_8,alexa_3.wav,alexa_4.wav,0.6617494821548462,0.6617494821548462,v27_ep9_sam_not_detected,66.17%,66.17%
model_8,alexa_3.wav,alexa_5.wav,0.7753822207450867,0.7753822207450867,v27_ep9_sam_not_detected,77.54%,77.54%
model_8,alexa_4.wav,alexa_5.wav,0.6179002523422241,0.6179002523422241,v27_ep9_sam_not_detected,61.79%,61.79%
model_8,shiva_1.wav,shiva_2.wav,0.951492965221405,0.951492965221405,v27_ep9_sam_not_detected,95.15%,95.15%
model_8,munez_2.wav,munez_3.wav,0.8183373212814331,0.8183373212814331,v27_ep9_sam_not_detected,81.83%,81.83%
model_8,nigga2.wav,nigga3.wav,0.9126436710357666,0.9126436710357666,v27_ep9_sam_not_detected,91.26%,91.26%
model_8,kallan_1.wav,kallan_2.wav,0.6708027124404907,0.6708027124404907,v27_ep9_sam_not_detected,67.08%,67.08%
model_8,Skywalker_en-AU-jimm.mp3,Skywalker_en-AU-kylie.mp3,0.8847866058349609,0.8847866058349609,v27_ep9_sam_not_detected,88.48%,88.48%
model_8,Thunderbolt_en-AU-jimm.mp3,Thunderbolt_en-AU-kylie.mp3,0.7380784749984741,0.7380784749984741,v27_ep9_sam_not_detected,73.81%,73.81%
model_8,sam_1.wav,shambu_1.wav,0.3809468150138855,0.3809468150138855,v27_ep9_sam_not_detected,38.09%,38.09%
model_8,sam_2.wav,alexa_3.wav,0.3654129207134247,0.3654129207134247,v27_ep9_sam_not_detected,36.54%,36.54%
